Identifier,Temperature,Generated Caption,Term Value,Uncertainty Value,Response
patient_image,0.01,"Diagnosis: High-grade B-cell lymphoma, likely follicular lymphoma.",0.9591543078422546,0.9183086156845093,Ductal
patient_image,0.01,"Diagnosis: High-grade serous carcinoma of the ovary, fallopian tube, and peritoneum.",0.9588471055030823,0.9176942110061646,Ductal
patient_image,0.01,"Diagnosis: High-grade serous carcinoma of the ovary, fallopian tube, and peritoneum.",0.9559813141822815,0.9119626879692078,Ductal
patient_image,0.01,"Diagnosis: High-grade serous carcinoma of the ovary, fallopian tube, and peritoneum.",0.9582261443138123,0.9164522886276245,Ductal
patient_image,0.01,"Diagnosis: High-grade serous carcinoma of the ovary, fallopian tube, and peritoneum.",0.9567959308624268,0.9135919213294983,Ductal
patient_image,0.01,"Diagnosis: High-grade serous carcinoma of the ovary, fallopian tube, and peritoneum.",0.9551520943641663,0.9103041887283325,Ductal
patient_image,0.01,"Diagnosis: High-grade serous carcinoma of the ovary, fallopian tube, and peritoneum.",0.9567959308624268,0.9135919213294983,Ductal
patient_image,0.01,"Diagnosis: High-grade serous carcinoma of the ovary, fallopian tube, and peritoneum.",0.959307074546814,0.9186141490936279,Ductal
patient_image,0.01,"Diagnosis: High-grade serous carcinoma of the ovary, fallopian tube, and peritoneum.",0.9564718008041382,0.9129436612129211,Ductal
patient_image,0.01,"Diagnosis: High-grade serous carcinoma of the ovary, fallopian tube, and peritoneum.",0.9583821892738342,0.9167643785476685,Ductal
patient_image,0.01,"Diagnosis: High-grade serous carcinoma of the ovary, fallopian tube, and peritoneum.",0.9571177959442139,0.914235532283783,Ductal
patient_image,0.01,"Diagnosis: High-grade serous carcinoma of the ovary, fallopian tube, and peritoneum.",0.9566342234611511,0.9132684469223022,Ductal
patient_image,0.01,"Diagnosis: High-grade serous carcinoma of the ovary, fallopian tube, and peritoneum.",0.9597620368003845,0.919524073600769,Ductal
patient_image,0.01,"Diagnosis: High-grade serous carcinoma of the ovary, fallopian tube, and peritoneum.",0.9567959308624268,0.9135919213294983,Ductal
patient_image,0.01,"Diagnosis: High-grade serous carcinoma of the ovary, fallopian tube, and peritoneum.",0.9548162817955017,0.9096325039863586,Ductal
patient_image,0.01,"Diagnosis: High-grade serous carcinoma of the ovary, fallopian tube, and peritoneum.",0.956308901309967,0.9126178622245789,Ductal
patient_image,0.01,"Diagnosis: High-grade serous carcinoma of the ovary, fallopian tube, and peritoneum.",0.9569571614265442,0.9139143228530884,Ductal
patient_image,0.01,"Diagnosis: High-grade serous carcinoma of the ovary, fallopian tube, and peritoneum.",0.960212230682373,0.9204244017601013,Ductal
patient_image,0.01,"Diagnosis: High-grade serous carcinoma of the ovary, fallopian tube, and peritoneum.",0.9600626826286316,0.9201253652572632,Ductal
patient_image,0.01,"Diagnosis: High-grade serous carcinoma of the ovary, fallopian tube, and peritoneum.",0.9590010046958923,0.9180019497871399,Ductal
patient_image,0.06137931034482759,"Diagnosis: High-grade B-cell lymphoma, likely follicular lymphoma.",0.9591543078422546,0.9183086156845093,Ductal
patient_image,0.06137931034482759,"Diagnosis: High-grade serous carcinoma of the ovary, fallopian tube, and peritoneum.",0.9588471055030823,0.9176942110061646,Ductal
